,0
img_1_plant1,111.539
img_1_plant2,0.0
img_1_plant3,44.799
img_1_plant4,0.0
img_1_plant5,0.0
img_2_plant1,2709.1579999999994
img_2_plant2,1225.431
img_2_plant3,1216.781
img_2_plant4,111.539
img_2_plant5,2412.192
img_3_plant1,175.237
img_3_plant2,1355.998
img_3_plant3,929.4770000000001
img_3_plant4,791.0520000000001
img_3_plant5,1423.995
img_4_plant1,784.146
img_4_plant2,1443.0490000000002
img_4_plant3,171.71099999999998
img_4_plant4,96.468
img_4_plant5,193.179
img_5_plant1,1413.456
img_5_plant2,1017.5840000000001
img_5_plant3,784.146
img_5_plant4,818.7139999999999
img_5_plant5,1580.955
img_6_plant1,0.0
img_6_plant2,0.0
img_6_plant3,0.0
img_6_plant4,0.0
img_6_plant5,0.0
img_7_plant1,0.0
img_7_plant2,0.0
img_7_plant3,0.0
img_7_plant4,0.0
img_7_plant5,0.0
img_8_plant1,0.0
img_8_plant2,0.0
img_8_plant3,0.0
img_8_plant4,0.0
img_8_plant5,0.0
img_9_plant1,118.467
img_9_plant2,3.828
img_9_plant3,0.0
img_9_plant4,176.71099999999998
img_9_plant5,40.87
img_10_plant1,169.551
img_10_plant2,149.451
img_10_plant3,810.329
img_10_plant4,1131.631
img_10_plant5,1130.409
img_11_plant1,1538.8189999999997
img_11_plant2,1321.2779999999998
img_11_plant3,0.0
img_11_plant4,5992.856000000001
img_11_plant5,4040.337
